,magnitude,depth
0,3.0,0.0
1,2.8,0.9
2,2.6,120.0
3,2.75,9.79
4,3.7,26.6
5,4.2,35.0
6,2.56,108.0
7,6.0,54.4
8,5.0,10.0
9,2.7,6.7
10,5.0,10.0
11,4.1,37.2
12,4.5,10.0
13,2.8,29.6
14,2.87,102.0
15,3.3,0.0
16,2.76,10.0
17,3.04,54.0
18,5.2,10.0
19,3.43,75.0
20,3.35,30.0
21,3.1,0.0
22,2.72,11.0
23,4.4,107.82
24,5.4,10.0
25,4.3,10.0
26,2.6,9.2
27,3.11,45.0
28,3.28,103.0
29,2.7,20.3
30,3.3,0.1
31,4.6,10.0
32,4.8,135.7
33,2.8,5.2
34,3.46,89.0
35,3.04,113.0
36,4.9,128.23
37,4.4,10.0
38,2.5,9.6
39,2.9,0.0
40,4.7,162.92
41,5.7,27.36
42,3.3,0.0
43,3.0,6.23
44,5.7,17.0
45,5.5,10.0
46,3.22,86.0
47,2.8,7.54
48,2.67,32.58
49,4.9,10.0
50,2.7,41.3
51,4.8,47.15
52,2.5,3.42
53,4.8,10.0
54,4.7,10.0
55,5.1,40.96
56,4.8,10.0
57,2.8,0.2
58,4.6,101.69
59,3.2,1.9
60,2.57,14.38
61,3.3,45.3
62,4.4,10.0
63,4.4,66.86
64,3.36,51.0
65,5.0,110.77
66,2.7,0.0
67,4.4,15.9
68,3.03,32.0
69,2.7,5.0
70,5.2,61.46
71,2.65,33.0
72,4.9,10.0
73,4.9,10.0
74,2.94,68.0
75,2.64,48.0
76,2.9,10.0
77,5.0,35.0
78,2.9,3.4
79,3.05,46.0
80,2.7,32.9
81,2.97,8.0
82,5.0,44.04
83,2.9,0.0
84,3.0,7.61
85,2.5,4.75
86,2.7,13.36
87,3.1,13.4
88,2.6,5.4
89,3.3,24.4
90,5.1,10.0
91,4.5,10.0
92,5.2,9.3
93,4.7,10.0
94,2.5,5.0
95,5.7,7.09
96,5.0,10.0
97,5.0,8.28
98,4.9,63.0
99,2.8,12.0
100,5.6,129.13
101,4.0,54.54
102,2.6,5.0
103,2.7,0.0
104,2.5,36.1
105,4.7,10.0
106,2.9,10.0
107,5.0,10.0
108,6.4,29.0
109,2.99,109.0
110,5.1,48.12
111,4.3,10.0
112,2.7,14.2
113,4.1,33.68
114,4.3,10.0
115,4.7,51.42
116,2.5,18.7
117,2.64,10.0
118,5.6,10.0
119,2.8,73.8
120,2.99,99.0
121,3.17,94.0
122,3.42,83.0
123,4.7,10.0
124,5.3,10.0
125,2.45,23.0
126,3.3,91.3
127,4.5,46.57
128,3.27,112.0
129,3.3,38.8
130,2.89,87.0
131,5.7,17.86
132,4.4,57.15
133,3.0,10.0
134,2.96,70.0
135,4.8,10.0
136,2.7,12.7
137,4.9,35.0
138,3.37,17.07
139,2.93,122.0
140,4.8,42.11
141,3.15,78.0
142,4.5,506.62
143,4.6,62.46
144,2.66,40.0
145,4.2,65.28
146,4.1,5.0
147,4.4,10.69
148,5.4,22.68
149,4.4,120.05
150,3.4,1.9
151,4.2,35.0
152,3.5,20.01
153,4.8,39.81
154,5.1,37.11
155,4.8,35.0
156,2.9,1.8
157,2.8,149.1
158,2.55,10.24
159,4.0,406.74
160,2.51,7.46
161,3.8,43.27
162,2.46,59.0
163,4.6,35.0
164,2.72,84.0
165,2.87,38.0
166,2.9,8.4
167,2.6,11.2
168,2.8,0.0
169,4.5,10.0
170,2.6,2.24
171,2.75,8.55
172,4.4,10.0
173,4.5,10.0
174,2.9,0.0
175,2.9,5.0
176,2.5,13.2
177,4.8,37.17
178,4.49,0.76
179,3.32,6.01
180,4.4,65.0
181,4.2,10.0
182,4.4,73.44
183,4.6,10.0
184,3.8,5.0
185,4.8,10.0
186,4.5,38.92
187,5.9,10.0
188,2.7,5.0
189,2.61,15.59
190,4.4,44.05
191,4.8,103.59
192,4.0,66.25
193,2.71,10.0
194,2.52,-0.45
195,3.44,33.0
196,3.43,72.0
197,2.97,61.0
198,4.6,10.0
199,2.89,7.0
200,2.8,5.0
201,4.6,10.0
202,2.5,5.0
203,2.8,5.7
204,2.6,0.1
205,3.38,60.0
206,2.9,58.0
207,2.59,5.74
208,4.4,231.68
209,4.6,79.92
210,4.2,76.64
211,2.98,6.53
212,2.54,74.0
213,2.82,23.4
214,4.9,66.28
215,3.09,3.43
216,4.2,16.58
217,2.9,0.5
218,4.9,10.0
219,5.4,10.0
220,2.8,20.91
221,2.8,0.0
222,3.4,19.76
223,2.5,14.0
224,2.7,2.2
225,4.3,152.27
226,2.58,48.0
227,4.5,16.49
228,3.8,89.43
229,2.48,12.66
230,2.73,9.21
231,2.8,35.7
232,4.5,10.0
233,2.85,6.09
234,4.3,35.0
235,4.2,208.06
236,4.4,34.91
237,2.5,184.9
238,2.71,98.0
239,3.5,10.0
240,3.2,38.0
241,4.6,270.45
242,2.6,0.0
243,4.5,230.03
244,2.87,10.24
